State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,I_Nominee,I_Percentage,I_Votes,Year
Alaska,AK,3.00,JOE BIDEN,42.8,153778,DONALD TRUMP,52.8,189951,Howie Hawkins,4.4,15801,2020
Alabama,AL,9.00,JOE BIDEN,36.6,849624,DONALD TRUMP,62.0,1441170,Howie Hawkins,1.4,32488,2020
Arkansas,AR,6.00,JOE BIDEN,34.8,423932,DONALD TRUMP,62.4,760647,Howie Hawkins,2.8,34490,2020
Arizona,AZ,11.00,JOE BIDEN,49.4,1672143,DONALD TRUMP,49.1,1661686,Howie Hawkins,1.6,53497,2020
California,CA,55.00,JOE BIDEN,63.5,11110250,DONALD TRUMP,34.3,6006429,Howie Hawkins,2.2,384192,2020
Colorado,CO,9.00,JOE BIDEN,55.4,1804352,DONALD TRUMP,41.9,1364607,Howie Hawkins,2.7,87993,2020
Connecticut,CT,7.00,JOE BIDEN,59.3,1080831,DONALD TRUMP,39.2,714717,Howie Hawkins,1.6,28309,2020
"Washington, D.C.",DC,3.00,JOE BIDEN,92.1,317323,DONALD TRUMP,5.4,18586,Howie Hawkins,2.5,8447,2020
Delaware,DE,3.00,JOE BIDEN,58.7,296268,DONALD TRUMP,39.8,200603,Howie Hawkins,1.5,7475,2020
Florida,FL,29.00,JOE BIDEN,47.9,5297045,DONALD TRUMP,51.2,5668731,Howie Hawkins,0.9,101680,2020
Georgia,GA,16.00,JOE BIDEN,49.5,2473633,DONALD TRUMP,49.3,2461854,Howie Hawkins,1.2,62229,2020
Hawaii,HI,4.00,JOE BIDEN,63.7,366130,DONALD TRUMP,34.3,196864,Howie Hawkins,2.0,11475,2020
Iowa,IA,6.00,JOE BIDEN,44.9,759061,DONALD TRUMP,53.1,897672,Howie Hawkins,2.0,34138,2020
Idaho,ID,4.00,JOE BIDEN,33.1,287021,DONALD TRUMP,63.9,554119,Howie Hawkins,3.0,26091,2020
Illinois,IL,20.00,JOE BIDEN,57.5,3471915,DONALD TRUMP,40.6,2446891,Howie Hawkins,1.9,114938,2020
Indiana,IN,11.00,JOE BIDEN,41.0,1242413,DONALD TRUMP,57.0,1729516,Howie Hawkins,2.0,61183,2020
Kansas,KS,6.00,JOE BIDEN,41.6,570323,DONALD TRUMP,56.2,771406,Howie Hawkins,2.2,30574,2020
Kentucky,KY,8.00,JOE BIDEN,36.2,772474,DONALD TRUMP,62.1,1326646,Howie Hawkins,1.8,37648,2020
Louisiana,LA,8.00,JOE BIDEN,39.9,856034,DONALD TRUMP,58.5,1255776,Howie Hawkins,1.7,36252,2020
Massachusetts,MA,11.00,JOE BIDEN,65.6,2382202,DONALD TRUMP,32.1,1167202,Howie Hawkins,2.3,81998,2020
Maryland,MD,10.00,JOE BIDEN,65.4,1985023,DONALD TRUMP,32.2,976414,Howie Hawkins,2.5,75593,2020
Maine,ME,2.00,JOE BIDEN,53.1,435072,DONALD TRUMP,44.0,360737,Howie Hawkins,2.9,23652,2020
Michigan,MI,16.00,JOE BIDEN,50.6,2804040,DONALD TRUMP,47.8,2649852,Howie Hawkins,1.5,85410,2020
Minnesota,MN,10.00,JOE BIDEN,52.4,1717077,DONALD TRUMP,45.3,1484065,Howie Hawkins,2.3,76029,2020
Missouri,MO,10.00,JOE BIDEN,41.4,1253014,DONALD TRUMP,56.8,1718736,Howie Hawkins,1.8,54212,2020
Mississippi,MS,6.00,JOE BIDEN,41.1,539508,DONALD TRUMP,57.6,756789,Howie Hawkins,1.3,17597,2020
Montana,MT,3.00,JOE BIDEN,40.5,244786,DONALD TRUMP,56.9,343602,Howie Hawkins,2.5,15286,2020
North Carolina,NC,15.00,JOE BIDEN,48.6,2684292,DONALD TRUMP,49.9,2758775,Howie Hawkins,1.5,81737,2020
North Dakota,ND,3.00,JOE BIDEN,31.8,114902,DONALD TRUMP,65.1,235595,Howie Hawkins,3.1,11322,2020
Nebraska,NE,2.00,JOE BIDEN,39.4,374583,DONALD TRUMP,58.5,556846,Howie Hawkins,2.1,20283,2020
New Hampshire,NH,4.00,JOE BIDEN,52.7,424921,DONALD TRUMP,45.4,365654,Howie Hawkins,1.9,15607,2020
New Jersey,NJ,14.00,JOE BIDEN,57.3,2608335,DONALD TRUMP,41.4,1883274,Howie Hawkins,1.3,57744,2020
New Mexico,NM,5.00,JOE BIDEN,54.3,501614,DONALD TRUMP,43.5,401894,Howie Hawkins,2.2,20457,2020
Nevada,NV,6.00,JOE BIDEN,50.1,703486,DONALD TRUMP,47.7,669890,Howie Hawkins,2.3,32000,2020
New York,NY,29.00,JOE BIDEN,60.9,5244886,DONALD TRUMP,37.7,3251997,Howie Hawkins,1.4,119978,2020
Ohio,OH,18.00,JOE BIDEN,45.2,2679165,DONALD TRUMP,53.3,3154834,Howie Hawkins,1.5,88203,2020
Oklahoma,OK,7.00,JOE BIDEN,32.3,503890,DONALD TRUMP,65.4,1020280,Howie Hawkins,2.3,36529,2020
Oregon,OR,7.00,JOE BIDEN,56.5,1340383,DONALD TRUMP,40.4,958448,Howie Hawkins,3.2,75490,2020
Pennsylvania,PA,20.00,JOE BIDEN,50.0,3458229,DONALD TRUMP,48.8,3377674,Howie Hawkins,1.1,79380,2020
Rhode Island,RI,4.00,JOE BIDEN,59.4,307486,DONALD TRUMP,38.6,199922,Howie Hawkins,2.0,10349,2020
South Carolina,SC,9.00,JOE BIDEN,43.4,1091541,DONALD TRUMP,55.1,1385103,Howie Hawkins,1.5,36685,2020
South Dakota,SD,3.00,JOE BIDEN,35.6,150471,DONALD TRUMP,61.8,261043,Howie Hawkins,2.6,11095,2020
Tennessee,TN,11.00,JOE BIDEN,37.5,1143711,DONALD TRUMP,60.7,1852475,Howie Hawkins,1.9,57665,2020
Texas,TX,38.00,JOE BIDEN,46.5,5259126,DONALD TRUMP,52.1,5890347,Howie Hawkins,1.5,165583,2020
Utah,UT,6.00,JOE BIDEN,37.6,560282,DONALD TRUMP,58.1,865140,Howie Hawkins,4.2,62867,2020
Virginia,VA,13.00,JOE BIDEN,54.1,2413568,DONALD TRUMP,44.0,1962430,Howie Hawkins,1.9,84526,2020
Vermont,VT,3.00,JOE BIDEN,66.1,242820,DONALD TRUMP,30.7,112704,Howie Hawkins,3.2,11904,2020
Washington,WA,12.00,JOE BIDEN,58.0,2369612,DONALD TRUMP,38.8,1584651,Howie Hawkins,3.3,133368,2020
Wisconsin,WI,10.00,JOE BIDEN,49.4,1630866,DONALD TRUMP,48.8,1610184,Howie Hawkins,1.7,56991,2020
