State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,I_Nominee,I_Percentage,I_Votes,Year,,,
Alaska,AK,3,JOE BIDEN,42.8,"153,778",DONALD TRUMP,52.8,"189,951",Howie Hawkins,4.4,"15,801",2020,,4.40%,4.4
Alabama,AL,9,JOE BIDEN,36.6,"849,624",DONALD TRUMP,62,"1,441,170",Howie Hawkins,1.4,"32,488",2020,,1.40%,1.4
Arkansas,AR,6,JOE BIDEN,34.8,"423,932",DONALD TRUMP,62.4,"760,647",Howie Hawkins,2.8,"34,490",2020,,2.80%,2.8
Arizona,AZ,11,JOE BIDEN,49.4,"1,672,143",DONALD TRUMP,49.1,"1,661,686",Howie Hawkins,1.6,"53,497",2020,,1.60%,1.6
California,CA,55,JOE BIDEN,63.5,"11,110,250",DONALD TRUMP,34.3,"6,006,429",Howie Hawkins,2.2,"384,192",2020,,2.20%,2.2
Colorado,CO,9,JOE BIDEN,55.4,"1,804,352",DONALD TRUMP,41.9,"1,364,607",Howie Hawkins,2.7,"87,993",2020,,2.70%,2.7
Connecticut,CT,7,JOE BIDEN,59.3,"1,080,831",DONALD TRUMP,39.2,"714,717",Howie Hawkins,1.6,"28,309",2020,,1.60%,1.6
"Washington, D.C.",DC,3,JOE BIDEN,92.1,"317,323",DONALD TRUMP,5.4,"18,586",Howie Hawkins,2.5,"8,447",2020,,2.50%,2.5
Delaware,DE,3,JOE BIDEN,58.7,"296,268",DONALD TRUMP,39.8,"200,603",Howie Hawkins,1.5,"7,475",2020,,1.50%,1.5
Florida,FL,29,JOE BIDEN,47.9,"5,297,045",DONALD TRUMP,51.2,"5,668,731",Howie Hawkins,0.9,"101,680",2020,,0.90%,0.9
Georgia,GA,16,JOE BIDEN,49.5,"2,473,633",DONALD TRUMP,49.3,"2,461,854",Howie Hawkins,1.2,"62,229",2020,,1.20%,1.2
Hawaii,HI,4,JOE BIDEN,63.7,"366,130",DONALD TRUMP,34.3,"196,864",Howie Hawkins,2,"11,475",2020,,2.00%,2
Iowa,IA,6,JOE BIDEN,44.9,"759,061",DONALD TRUMP,53.1,"897,672",Howie Hawkins,2,"34,138",2020,,2.00%,2
Idaho,ID,4,JOE BIDEN,33.1,"287,021",DONALD TRUMP,63.9,"554,119",Howie Hawkins,3,"26,091",2020,,3.00%,3
Illinois,IL,20,JOE BIDEN,57.5,"3,471,915",DONALD TRUMP,40.6,"2,446,891",Howie Hawkins,1.9,"114,938",2020,,1.90%,1.9
Indiana,IN,11,JOE BIDEN,41,"1,242,413",DONALD TRUMP,57,"1,729,516",Howie Hawkins,2,"61,183",2020,,2.00%,2
Kansas,KS,6,JOE BIDEN,41.6,"570,323",DONALD TRUMP,56.2,"771,406",Howie Hawkins,2.2,"30,574",2020,,2.20%,2.2
Kentucky,KY,8,JOE BIDEN,36.2,"772,474",DONALD TRUMP,62.1,"1,326,646",Howie Hawkins,1.8,"37,648",2020,,1.80%,1.8
Louisiana,LA,8,JOE BIDEN,39.9,"856,034",DONALD TRUMP,58.5,"1,255,776",Howie Hawkins,1.7,"36,252",2020,,1.70%,1.7
Massachusetts,MA,11,JOE BIDEN,65.6,"2,382,202",DONALD TRUMP,32.1,"1,167,202",Howie Hawkins,2.3,"81,998",2020,,2.30%,2.3
Maryland,MD,10,JOE BIDEN,65.4,"1,985,023",DONALD TRUMP,32.2,"976,414",Howie Hawkins,2.5,"75,593",2020,,2.50%,2.5
Maine,ME,2,JOE BIDEN,53.1,"435,072",DONALD TRUMP,44,"360,737",Howie Hawkins,2.9,"23,652",2020,,2.90%,2.9
Michigan,MI,16,JOE BIDEN,50.6,"2,804,040",DONALD TRUMP,47.8,"2,649,852",Howie Hawkins,1.5,"85,410",2020,,1.50%,1.5
Minnesota,MN,10,JOE BIDEN,52.4,"1,717,077",DONALD TRUMP,45.3,"1,484,065",Howie Hawkins,2.3,"76,029",2020,,2.30%,2.3
Missouri,MO,10,JOE BIDEN,41.4,"1,253,014",DONALD TRUMP,56.8,"1,718,736",Howie Hawkins,1.8,"54,212",2020,,1.80%,1.8
Mississippi,MS,6,JOE BIDEN,41.1,"539,508",DONALD TRUMP,57.6,"756,789",Howie Hawkins,1.3,"17,597",2020,,1.30%,1.3
Montana,MT,3,JOE BIDEN,40.5,"244,786",DONALD TRUMP,56.9,"343,602",Howie Hawkins,2.5,"15,286",2020,,2.50%,2.5
North Carolina,NC,15,JOE BIDEN,48.6,"2,684,292",DONALD TRUMP,49.9,"2,758,775",Howie Hawkins,1.5,"81,737",2020,,1.50%,1.5
North Dakota,ND,3,JOE BIDEN,31.8,"114,902",DONALD TRUMP,65.1,"235,595",Howie Hawkins,3.1,"11,322",2020,,3.10%,3.1
Nebraska,NE,2,JOE BIDEN,39.4,"374,583",DONALD TRUMP,58.5,"556,846",Howie Hawkins,2.1,"20,283",2020,,2.10%,2.1
New Hampshire,NH,4,JOE BIDEN,52.7,"424,921",DONALD TRUMP,45.4,"365,654",Howie Hawkins,1.9,"15,607",2020,,1.90%,1.9
